x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,yvliang
1.905,-0.25,-0.842,-3.648,1.094,-3.648,4.269,-0.728,-0.882,-3.843,4.206,-8.325,0
1.908,-0.246,-0.845,-3.643,1.092,-3.643,4.272,-0.725,-0.88,-3.84,4.217,-8.319,0
1.903,-0.244,-0.848,-3.638,1.087,-3.638,4.267,-0.735,-0.887,-3.829,4.224,-8.316,0
1.904,-0.255,-0.846,-3.637,1.093,-3.637,4.27,-0.764,-0.89,-3.84,4.218,-8.335,0
1.9,-0.253,-0.842,-3.645,1.084,-3.645,4.268,-0.711,-0.886,-3.837,4.223,-8.32,0
1.901,-0.247,-0.842,-3.641,1.094,-3.641,4.274,-0.728,-0.886,-3.834,4.225,-8.331,0
1.903,-0.252,-0.848,-3.638,1.09,-3.638,4.272,-0.794,-0.886,-3.843,4.224,-8.319,0
1.909,-0.253,-0.837,-3.646,1.087,-3.646,4.266,-0.81,-0.883,-3.834,4.216,-8.321,0
1.901,-0.253,-0.839,-3.643,1.091,-3.643,4.277,-0.679,-0.883,-3.837,4.219,-8.328,0
1.9,-0.249,-0.835,-3.649,1.092,-3.649,4.27,-0.717,-0.88,-3.848,4.226,-8.333,0
1.908,-0.253,-0.833,-3.652,1.102,-3.652,4.273,-0.644,-0.882,-3.838,4.222,-8.335,0
1.898,-0.248,-0.837,-3.643,1.093,-3.643,4.265,-0.646,-0.884,-3.842,4.214,-8.326,0
1.906,-0.244,-0.827,-3.634,1.086,-3.634,4.278,-0.633,-0.887,-3.836,4.226,-8.331,0
1.904,-0.263,-0.834,-3.633,1.087,-3.633,4.275,-0.634,-0.884,-3.841,4.221,-8.329,0
1.902,-0.258,-0.81,-3.606,1.092,-3.606,4.264,-0.658,-0.879,-3.848,4.215,-8.33,0
1.899,-0.258,-0.821,-3.651,1.086,-3.651,4.265,-0.748,-0.882,-3.84,4.218,-8.325,0
1.907,-0.253,-0.82,-3.646,1.09,-3.646,4.267,-0.747,-0.881,-3.831,4.217,-8.343,0
1.9,-0.256,-0.818,-3.65,1.097,-3.65,4.267,-0.671,-0.886,-3.839,4.209,-8.338,0
1.904,-0.262,-0.822,-3.66,1.094,-3.66,4.257,-0.794,-0.884,-3.837,4.212,-8.322,0
1.905,-0.254,-0.828,-3.661,1.1,-3.661,4.25,-0.847,-0.887,-3.832,4.203,-8.323,0
1.906,-0.266,-0.827,-3.655,1.1,-3.655,4.259,-0.804,-0.888,-3.831,4.203,-8.331,0
1.909,-0.264,-0.826,-3.657,1.103,-3.657,4.257,-0.795,-0.886,-3.82,4.203,-8.311,0
1.912,-0.264,-0.841,-3.662,1.096,-3.662,4.266,-0.75,-0.893,-3.824,4.21,-8.32,0
1.908,-0.257,-0.848,-3.648,1.097,-3.648,4.262,-0.753,-0.886,-3.829,4.211,-8.298,0
1.907,-0.264,-0.85,-3.649,1.1,-3.649,4.267,-0.772,-0.887,-3.836,4.208,-8.316,0
1.903,-0.259,-0.846,-3.634,1.095,-3.634,4.269,-0.715,-0.881,-3.837,4.205,-8.308,0
1.905,-0.253,-0.851,-3.641,1.092,-3.641,4.272,-0.709,-0.88,-3.842,4.205,-8.314,0
1.9,-0.255,-0.848,-3.647,1.087,-3.647,4.275,-0.73,-0.884,-3.835,4.216,-8.32,0
